statename,distname,YEAR,RAPE,CUSTODIAL RAPE,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE
Himachal Pradesh,Kullu,2001,13,0,3,7,6,0,12,2,36
Himachal Pradesh,Lahaul-Spiti,2001,2,0,0,1,1,0,0,1,9
Himachal Pradesh,Mandi,2001,16,0,6,22,34,0,59,56,75
Himachal Pradesh,Shimla,2001,18,0,13,31,13,2,50,31,60
Himachal Pradesh,Sirmaur,2001,10,0,2,12,4,3,33,22,47
Himachal Pradesh,Solan,2001,12,0,17,7,9,2,23,24,45
Himachal Pradesh,Una,2001,9,0,4,6,5,0,11,20,64
Himachal Pradesh,Total,2001,124,0,69,146,134,10,310,317,483
Jammu & Kashmir,Anantnag,2001,6,0,5,28,51,0,53,0,23
Jammu & Kashmir,Awantipora,2001,1,0,0,1,9,0,8,0,0
Jammu & Kashmir,Baramulla,2001,28,0,3,11,40,0,93,0,22
Jammu & Kashmir,Border,2001,12,0,6,16,2,0,15,3,39
Jammu & Kashmir,Budgam,2001,7,0,3,6,13,0,35,0,22
Jammu & Kashmir,Crime Jammu,2001,0,0,0,27,0,0,0,0,0
Jammu & Kashmir,Crime Srinagar,2001,0,0,8,61,0,0,0,0,0
Jammu & Kashmir,Doda,2001,7,0,6,4,40,0,6,1,18
Jammu & Kashmir,Ganderbal,2001,5,0,0,3,13,0,30,0,11
Jammu & Kashmir,Jammu,2001,13,0,10,62,13,5,40,26,112
Jammu & Kashmir,Kargil,2001,0,0,0,0,3,0,1,0,0
Jammu & Kashmir,Kathua,2001,13,0,0,8,15,3,14,1,65
Jammu & Kashmir,Kulgam,2001,6,0,5,6,34,0,7,0,19
Jammu & Kashmir,Kupwara,2001,6,0,8,10,22,0,62,0,12
Jammu & Kashmir,Leh,2001,0,0,3,3,0,0,1,0,0
Jammu & Kashmir,Poonch,2001,13,0,3,6,40,0,4,2,8
Jammu & Kashmir,Pulwama,2001,7,0,3,10,23,0,19,0,0
Jammu & Kashmir,Railways,2001,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Rajouri,2001,17,0,4,14,18,3,7,6,2
Jammu & Kashmir,Ramban,2001,3,0,5,3,19,0,3,0,1
Jammu & Kashmir,Reasi,2001,7,0,7,2,12,0,5,0,0
Jammu & Kashmir,Srinagar,2001,8,0,7,102,64,0,207,2,0
Jammu & Kashmir,Udhampur,2001,10,0,4,8,6,2,12,9,3
Jammu & Kashmir,Total,2001,169,0,90,391,437,13,622,50,357
Jharkhand,Bokaro,2001,26,0,16,17,13,25,24,45,76
Jharkhand,Chaibasa,2001,32,0,8,22,5,0,6,0,0
Jharkhand,Chatra,2001,6,0,0,13,1,7,0,6,0
Jharkhand,Deoghar,2001,22,0,8,14,11,10,13,10,0
Jharkhand,Dhanbad,2001,32,0,11,77,14,30,47,18,15
Jharkhand,Dhanbad Rly.,2001,2,0,0,8,0,0,0,0,0
Jharkhand,Dumka,2001,27,0,14,8,16,3,20,23,18
Jharkhand,Garhwa,2001,11,0,2,15,12,15,0,5,0
Jharkhand,Giridih,2001,42,0,18,49,21,30,13,57,65
Jharkhand,Godda,2001,37,0,0,3,0,1,0,0,0
Jharkhand,Gumla,2001,29,0,4,7,0,0,2,10,0
Jharkhand,Hazaribagh,2001,41,0,9,54,5,31,15,18,6
Jharkhand,Jamshedpur,2001,50,0,85,115,8,6,58,88,140
Jharkhand,Jamshedpur Rly.,2001,1,0,0,3,0,0,1,0,0
Jharkhand,Jamtara,2001,18,0,2,10,3,5,13,20,2
Jharkhand,Koderma,2001,2,0,16,17,3,11,8,29,45
Jharkhand,Latehar,2001,12,0,2,0,0,6,0,0,0
Jharkhand,Lohardagga,2001,12,0,4,5,3,0,4,10,0
Jharkhand,Pakur,2001,23,0,6,19,7,7,0,18,0
Jharkhand,Palamu,2001,15,0,21,5,23,18,8,28,38
Jharkhand,Ranchi,2001,73,0,47,55,10,4,24,78,0
Jharkhand,Sahebganj,2001,20,0,5,19,10,3,23,21,15
Jharkhand,Saraikela,2001,17,0,5,17,0,4,18,0,0
Jharkhand,Simdega,2001,17,0,0,2,0,1,0,0,0
Jharkhand,Total,2001,567,0,283,554,165,217,297,484,420
Karnataka,Bagalkot,2001,2,0,6,18,12,1,39,50,0
Karnataka,Bangalore Commr.,2001,40,0,258,1708,3,40,223,229,38
Karnataka,Bangalore Rural,2001,13,0,22,60,39,30,90,123,0
Karnataka,Belgaum,2001,8,0,17,102,25,4,62,125,21
Karnataka,Bellary,2001,16,0,9,19,13,5,82,49,0
Karnataka,Bidar,2001,7,0,7,33,21,2,90,51,0
Karnataka,Bijapur,2001,6,0,5,19,34,1,65,92,0
Karnataka,Chamarajnagar,2001,4,0,3,10,25,7,43,15,0
Karnataka,Chickmagalur,2001,8,0,7,25,5,4,57,83,7
Karnataka,Chitradurga,2001,18,0,7,22,8,2,48,35,0
Karnataka,Dakshin Kannada,2001,3,0,15,55,12,1,24,25,3
Karnataka,Davanagere,2001,22,0,12,46,1,8,84,77,1
Karnataka,Dharwad Commr.,2001,4,0,8,56,7,2,3,24,4
Karnataka,Dharwad Rural,2001,3,0,7,14,0,3,8,8,0
Karnataka,Gadag,2001,2,0,4,23,1,3,10,18,0
Karnataka,Gulbarga,2001,20,0,6,68,25,6,143,104,0
Karnataka,Hassan,2001,20,0,9,17,0,4,75,68,0
Karnataka,Haveri,2001,3,0,9,20,0,5,42,32,0
Karnataka,K.G.F.,2001,1,0,0,12,0,4,12,20,0
Karnataka,Kodagu,2001,4,0,2,6,3,4,22,14,0
Karnataka,Kolar,2001,17,0,9,48,0,18,42,39,0
Karnataka,Koppal,2001,6,0,2,21,5,5,40,23,0
Karnataka,Mandya,2001,15,0,7,30,0,7,50,72,0
Karnataka,Mysore Commr.,2001,2,0,17,52,0,9,8,48,0
Karnataka,Mysore Rural,2001,12,0,5,15,0,6,79,51,0
Karnataka,Raichur,2001,12,0,8,94,15,1,63,52,16
Karnataka,Railways,2001,1,0,1,2,0,1,0,0,0
Karnataka,Shimoga,2001,12,0,4,31,20,6,65,134,0
Karnataka,Tumkur,2001,6,0,13,26,69,28,53,44,4
Karnataka,Udupi,2001,2,0,4,15,5,0,16,16,6
Karnataka,Uttar Kannada,2001,4,0,11,11,4,3,27,34,0
