statename,distname,YEAR,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,AUTO THEFT
Madhya Pradesh,Gwalior,2001,46,4,144,925,305
Madhya Pradesh,Harda,2001,2,1,3,74,10
Madhya Pradesh,Hoshangabad,2001,16,0,31,286,51
Madhya Pradesh,Indore,2001,50,5,112,2708,1360
Madhya Pradesh,Indore Rly.,2001,0,0,7,193,3
Madhya Pradesh,Jabalpur,2001,33,0,126,887,300
Madhya Pradesh,Jabalpur Rly.,2001,0,0,15,221,6
Madhya Pradesh,Jhabua,2001,83,5,20,269,13
Madhya Pradesh,Katni,2001,9,0,29,239,56
Madhya Pradesh,Khandwa,2001,14,5,11,290,44
Madhya Pradesh,Khargon,2001,15,5,21,533,24
Madhya Pradesh,Mandla,2001,9,2,11,116,20
Madhya Pradesh,Mandsaur,2001,15,3,32,444,96
Madhya Pradesh,Morena,2001,35,16,76,564,88
Madhya Pradesh,Narsinghpur,2001,7,1,11,149,26
Madhya Pradesh,Neemuch,2001,16,5,15,376,52
Madhya Pradesh,Panna,2001,11,1,10,99,4
Madhya Pradesh,Raisen,2001,11,5,27,187,12
Madhya Pradesh,Rajgarh,2001,12,4,35,218,34
Madhya Pradesh,Ratlam,2001,21,5,54,468,102
Madhya Pradesh,Rewa,2001,26,6,67,410,110
Madhya Pradesh,Sagar,2001,30,4,53,497,22
Madhya Pradesh,Satna,2001,16,3,52,495,125
Madhya Pradesh,Seoni,2001,3,1,6,161,19
Madhya Pradesh,Shahdol,2001,13,2,34,390,52
Madhya Pradesh,Shajapur,2001,13,1,47,588,95
Madhya Pradesh,Sheopur,2001,18,4,10,94,9
Madhya Pradesh,Shivpuri,2001,20,5,48,255,217
Madhya Pradesh,Sidhi,2001,33,9,15,346,18
Madhya Pradesh,Sihore,2001,29,1,19,364,59
Madhya Pradesh,Tikamgarh,2001,7,6,46,172,11
Madhya Pradesh,Ujjain,2001,44,6,79,1387,265
Madhya Pradesh,Umariya,2001,3,2,19,127,1
Madhya Pradesh,Vidisha,2001,10,0,20,268,41
Madhya Pradesh,Total,2001,956,166,1764,20263,4535
Maharashtra,Ahmednagar,2001,37,20,104,715,168
Maharashtra,Akola,2001,15,9,41,735,81
Maharashtra,Amravati Commr.,2001,27,10,48,812,163
Maharashtra,Amravati Rural,2001,29,1,36,1031,26
Maharashtra,Aurangabad Commr.,2001,19,3,40,503,179
Maharashtra,Aurangabad Rural,2001,16,14,49,273,30
Maharashtra,Beed,2001,25,16,62,499,70
Maharashtra,Bhandara,2001,4,2,15,402,27
Maharashtra,Buldhana,2001,22,11,27,749,45
Maharashtra,Chandrapur,2001,10,8,36,572,57
Maharashtra,Dhule,2001,6,7,13,360,56
Maharashtra,Gadchiroli,2001,7,11,15,124,15
Maharashtra,Gondia,2001,17,4,13,326,30
Maharashtra,Hingoli,2001,9,4,39,241,24
Maharashtra,Jalgaon,2001,16,16,30,557,72
Maharashtra,Jalna,2001,12,13,46,345,48
Maharashtra,Kolhapur,2001,21,11,32,561,164
Maharashtra,Latur,2001,22,3,31,281,58
Maharashtra,Mumbai,2001,148,61,406,11564,3095
Maharashtra,Mumbai Rly.,2001,1,0,29,1756,0
Maharashtra,Nagpur Commr.,2001,64,14,171,2666,797
Maharashtra,Nagpur Rly.,2001,0,6,20,762,8
Maharashtra,Nagpur Rural,2001,23,7,58,1074,62
Maharashtra,Nanded,2001,41,21,93,539,73
Maharashtra,Nandurbar,2001,6,4,5,132,19
Maharashtra,Nasik Commr.,2001,14,7,16,529,188
Maharashtra,Nasik Rural,2001,17,40,36,447,90
Maharashtra,Navi Mumbai,2001,19,15,62,893,318
Maharashtra,Osmanabad,2001,8,8,29,349,45
Maharashtra,Parbhani,2001,22,5,43,230,18
Maharashtra,Pune Commr.,2001,46,14,98,2508,1277
Maharashtra,Pune Rly.,2001,0,1,4,302,1
Maharashtra,Pune Rural,2001,24,23,70,635,168
Maharashtra,Raigad,2001,8,13,27,296,54
Maharashtra,Ratnagiri,2001,8,3,14,256,34
Maharashtra,Sangli,2001,18,8,27,515,97
Maharashtra,Satara,2001,12,6,20,464,127
